filename;doc_category;word_count;emoticons;missing_commas;unknown_words;letter_reps;no_spaces;capital_letters;foreign_letters;ignored_capital;incorrect_spaces
kirjak__aerobike_ee__159261.json;kirjak;81;0;0;2;0;1;0;0;0;0
kirjak__archimedes_ee__319725.json;kirjak;38;0;0;0;0;0;0;0;0;0
kirjak__arhiiv_koolielu_ee__201559.json;kirjak;237;1;0;0;0;0;0;0;0;0
kirjak__arvamus_postimees_ee__101396.json;kirjak;175;0;0;0;0;0;0;0;0;0
kirjak__arvamus_postimees_ee__370618.json;kirjak;370;0;0;2;0;1;0;0;0;0
kirjak__bhr_balanss_ee__82792.json;kirjak;120;0;0;0;0;0;0;0;0;0
kirjak__blog_maaleht_ee__78714.json;kirjak;635;0;0;0;0;1;0;0;2;0
kirjak__blog_soccernet_ee__610385.json;kirjak;314;0;0;0;0;0;0;0;0;0
kirjak__blog_varrak_ee__1007.json;kirjak;1067;1;0;2;0;0;0;0;0;2
kirjak__eaq_ee__530463.json;kirjak;541;0;0;2;0;0;0;0;0;0
kirjak__filmitalgud_ee__58638.json;kirjak;80;0;0;0;0;0;0;0;0;0
kirjak__forte_delfi_ee__475427.json;kirjak;22;0;0;0;0;0;0;0;0;0
kirjak__ilm_ee__74391.json;kirjak;108;0;0;1;0;0;0;0;0;0
kirjak__ilm_ee__9857.json;kirjak;772;0;0;2;0;1;0;0;0;1
kirjak__kalah_zzz_ee__496174.json;kirjak;102;0;0;1;0;0;0;0;0;0
kirjak__maainfo_ee__91429.json;kirjak;170;0;0;0;0;0;0;0;0;1
kirjak__naistekas_delfi_ee__640009.json;kirjak;919;0;0;0;0;0;0;0;0;0
kirjak__naistekas_delfi_ee__74628.json;kirjak;434;0;0;0;0;0;0;0;0;1
kirjak__noored_emmaste_ee__10006.json;kirjak;265;0;0;0;0;0;0;0;0;0
kirjak__ohtuleht_ee__100000.json;kirjak;123;0;0;0;0;0;0;0;0;0
kirjak__ohtuleht_ee__652017.json;kirjak;279;0;1;0;0;0;0;0;0;0
kirjak__ohtuleht_ee__674358.json;kirjak;844;0;3;10;0;0;0;7;0;0
kirjak__ohtuleht_ee__99780.json;kirjak;309;0;0;0;0;0;0;0;0;0
kirjak__propeller_eava_ee__166376.json;kirjak;39;0;0;0;0;0;0;0;0;0
kirjak__propeller_eava_ee__167048.json;kirjak;179;0;0;2;0;0;0;2;0;0
kirjak__propeller_eava_ee__167124.json;kirjak;239;0;0;0;0;0;0;0;0;0
kirjak__rahvahaal_delfi_ee__105324.json;kirjak;63;0;0;0;0;0;0;0;0;0
kirjak__rahvahaal_delfi_ee__590664.json;kirjak;122;0;0;0;0;0;0;0;0;0
kirjak__reform_ee__99737.json;kirjak;105;0;0;0;0;0;0;0;0;0
kirjak__reisiajakiri_gomaailm_ee__505827.json;kirjak;495;0;0;5;0;1;0;0;0;0
kirjak__reisiajakiri_gomaailm_ee__506488.json;kirjak;942;0;0;7;0;0;1;2;0;1
kirjak__uudised_err_ee__126558.json;kirjak;346;0;0;0;0;1;0;0;0;0
kirjak__uudised_err_ee__672055.json;kirjak;118;0;0;0;0;0;0;0;0;0
kirjak__uudised_err_ee__98236.json;kirjak;94;0;0;0;0;0;0;0;0;0
kirjak__uudiskiri_e-ope_ee__163791.json;kirjak;444;0;0;3;0;0;0;0;0;0
kirjak__valitsus_ee__100662.json;kirjak;3733;0;1;0;0;0;0;0;0;0
kirjak__valitsus_ee__106660.json;kirjak;78;0;0;3;0;0;0;0;0;0
kirjak__valitsus_ee__125288.json;kirjak;121;0;0;1;0;1;0;0;0;0
kirjak__valitsus_ee__237746.json;kirjak;64;0;0;0;0;0;0;0;0;0
kirjak__valitsus_ee__376244.json;kirjak;44;0;0;0;0;0;0;0;0;0
kirjak__valitsus_ee__472309.json;kirjak;3605;0;0;6;0;0;0;1;0;0
kirjak__valitsus_ee__563634.json;kirjak;642;0;1;0;0;0;0;0;0;0
kirjak__valitsus_ee__566747.json;kirjak;2965;0;2;0;0;0;3;0;0;0
kirjak__valitsus_ee__588358.json;kirjak;67;0;0;0;0;0;0;0;0;0
kirjak__valitsus_ee__82999.json;kirjak;275;0;0;0;0;1;0;0;0;0
kirjak__www_3dnews_ee__547451.json;kirjak;106;0;0;0;0;0;1;0;0;1
kirjak__www_adaur_ee__101212.json;kirjak;264;0;0;0;0;0;0;0;0;0
kirjak__www_adaur_ee__424395.json;kirjak;709;0;0;0;0;0;0;0;0;0
kirjak__www_adaur_ee__87872.json;kirjak;188;0;0;2;1;0;0;0;0;0
kirjak__www_aks_ee__8142.json;kirjak;52;0;0;0;0;0;0;0;2;0
kirjak__www_autoleht_ee__350068.json;kirjak;86;0;0;0;0;0;0;0;0;0
kirjak__www_autoleht_ee__660893.json;kirjak;80;0;0;0;0;0;0;0;0;0
kirjak__www_autoleht_ee__99923.json;kirjak;106;0;0;0;0;0;0;0;0;0
kirjak__www_bioneer_ee__100024.json;kirjak;169;0;0;4;1;0;0;1;0;5
kirjak__www_bioneer_ee__100084.json;kirjak;1149;0;0;8;0;0;0;1;0;0
kirjak__www_director_ee__506742.json;kirjak;2435;0;2;5;0;7;1;0;0;0
kirjak__www_dt_ee__620173.json;kirjak;82;0;0;1;0;0;0;0;0;1
kirjak__www_eestikirik_ee__100108.json;kirjak;932;0;0;1;0;0;0;0;0;0
kirjak__www_eestikirik_ee__108634.json;kirjak;319;0;0;2;0;0;0;0;0;0
kirjak__www_eestikirik_ee__119134.json;kirjak;1048;0;0;1;0;2;0;0;0;1
kirjak__www_eestikirik_ee__124046.json;kirjak;604;0;0;1;0;2;0;0;0;0
kirjak__www_eestikirik_ee__245684.json;kirjak;161;0;0;0;0;0;0;0;0;0
kirjak__www_eestikirik_ee__245822.json;kirjak;411;1;0;1;0;0;0;0;1;0
kirjak__www_eestikirik_ee__347024.json;kirjak;677;0;1;1;0;0;0;0;0;0
kirjak__www_eestikirik_ee__674110.json;kirjak;683;0;0;0;0;0;0;0;0;0
kirjak__www_eestikirik_ee__88671.json;kirjak;356;0;0;0;0;1;0;0;0;0
kirjak__www_eestisport_ee__317204.json;kirjak;203;0;0;2;0;0;0;0;0;0
kirjak__www_ehitusala_ee__296152.json;kirjak;150;0;0;0;0;0;0;0;0;0
kirjak__www_emta_ee__590237.json;kirjak;2444;0;3;0;0;1;0;0;0;1
kirjak__www_epl_ee__81006.json;kirjak;597;0;0;0;0;0;0;0;0;0
kirjak__www_hambaarst_ee__281560.json;kirjak;26;0;0;0;0;0;0;0;0;0
kirjak__www_hk_tlu_ee__309937.json;kirjak;75;0;0;1;0;0;0;0;0;0
kirjak__www_horisont_ee__404046.json;kirjak;65;0;0;0;0;0;0;0;0;0
kirjak__www_lemmik_ee__606733.json;kirjak;92;0;0;0;0;0;0;0;0;0
kirjak__www_le_ee__655572.json;kirjak;416;0;0;0;0;0;0;0;0;0
kirjak__www_loodusajakiri_ee__245811.json;kirjak;2006;0;2;1;2;1;0;0;0;0
kirjak__www_loodusajakiri_ee__81657.json;kirjak;89;0;0;0;0;0;0;0;0;1
kirjak__www_maaleht_ee__93471.json;kirjak;349;0;0;1;0;0;0;0;0;0
kirjak__www_maksumaksjad_ee__116603.json;kirjak;1143;0;1;2;0;0;0;0;0;1
kirjak__www_med24_ee__615835.json;kirjak;841;0;0;15;0;0;0;0;0;0
kirjak__www_meiekirik_ee__348215.json;kirjak;324;0;0;0;0;0;0;0;0;0
kirjak__www_meiekirik_ee__562529.json;kirjak;92;0;0;0;0;0;0;0;0;1
kirjak__www_meiekirik_ee__568001.json;kirjak;361;0;0;3;0;0;0;0;0;0
kirjak__www_meiekirik_ee__78368.json;kirjak;172;0;0;1;0;0;0;0;0;0
kirjak__www_meiekirik_ee__80910.json;kirjak;993;0;0;9;0;1;0;0;0;0
kirjak__www_meiekirik_ee__97082.json;kirjak;750;0;0;1;0;0;0;0;0;0
kirjak__www_naisteleht_ee__664294.json;kirjak;93;0;0;0;0;0;0;0;0;0
kirjak__www_naisteleht_ee__81806.json;kirjak;838;0;0;4;0;1;2;0;0;0
kirjak__www_naisteleht_ee__82065.json;kirjak;415;0;0;0;0;0;0;0;0;1
kirjak__www_naisteleht_ee__94178.json;kirjak;105;0;0;0;0;0;1;0;0;1
kirjak__www_nokitse_ee__25326.json;kirjak;196;0;1;0;0;0;0;0;0;0
kirjak__www_ohtuleht_ee__94121.json;kirjak;327;0;0;0;0;1;0;0;0;0
kirjak__www_rahakool_ee__10660.json;kirjak;634;0;1;0;0;1;0;0;0;1
kirjak__www_rajaleidja_ee__350561.json;kirjak;995;0;1;3;0;4;0;0;0;0
kirjak__www_riigikogu_ee__1009.json;kirjak;1066;0;0;0;0;1;2;0;0;0
kirjak__www_riigikogu_ee__189965.json;kirjak;1637;0;0;2;0;0;0;0;0;0
kirjak__www_riigikogu_ee__322450.json;kirjak;23631;0;2;25;0;0;0;7;0;3
kirjak__www_riigikogu_ee__467249.json;kirjak;45282;0;4;23;0;0;1;0;0;1
kirjak__www_riigikogu_ee__539495.json;kirjak;42378;0;4;32;0;2;0;2;0;2
kirjak__www_riigikogu_ee__627604.json;kirjak;28016;0;3;32;0;0;2;2;0;1
kirjak__www_riigikogu_ee__96370.json;kirjak;8580;0;4;10;0;0;2;5;0;0
kirjak__www_stardiplats_ee__506639.json;kirjak;116;0;0;1;0;0;0;0;0;0
kirjak__www_syndikaat_ee__100174.json;kirjak;26;0;0;0;0;0;0;0;0;0
kirjak__www_syndikaat_ee__655520.json;kirjak;78;0;0;1;0;0;0;1;0;0
kirjak__www_syndikaat_ee__81209.json;kirjak;513;0;0;2;0;0;0;0;0;0
kirjak__www_tarbijakaitse_ee__201162.json;kirjak;190;0;0;0;0;0;0;0;0;0
kirjak__www_tarbijakaitse_ee__475554.json;kirjak;131;0;0;0;0;0;0;0;0;0
kirjak__www_tarbijakaitse_ee__673085.json;kirjak;66;0;0;2;0;0;0;0;0;0
kirjak__www_tarbijakaitse_ee__674014.json;kirjak;164;0;0;1;0;0;0;0;0;0
kirjak__www_teek_ee__406499.json;kirjak;196;0;0;0;0;1;0;0;0;0
kirjak__www_teek_ee__533844.json;kirjak;2306;0;1;1;0;0;0;0;0;33
kirjak__www_tennis_ee__10703.json;kirjak;992;0;0;4;0;0;0;0;0;0
kirjak__www_tlu_ee__100610.json;kirjak;975;0;0;2;0;0;0;0;0;2
kirjak__www_vain_ee__93594.json;kirjak;679;1;1;1;0;0;0;0;1;0
kirjak__www_vastused_ee__349908.json;kirjak;767;0;1;4;0;0;0;0;0;0
kirjak__www_vastused_ee__350322.json;kirjak;822;0;0;2;0;2;0;2;0;0
kirjak__www_vastused_ee__60129.json;kirjak;206;0;0;0;0;0;0;0;0;0
kirjak__www_vnl_ee__65570.json;kirjak;152;0;0;0;0;0;0;0;0;0
kirjak__www_volley_ee__655692.json;kirjak;88;0;0;0;0;0;0;0;0;0
kirjak__www_vorumaateataja_ee__583790.json;kirjak;1753;0;1;0;0;0;0;0;0;0
kirjak__www_vorumaateataja_ee__87754.json;kirjak;302;0;0;1;0;0;0;0;0;2
mittekirjak__adult_pri_ee__446331.json;mittekirjak;949;2;4;16;1;6;0;7;6;12
mittekirjak__arhiiv_koolielu_ee__100253.json;mittekirjak;168;1;0;2;0;6;0;0;0;0
mittekirjak__arhiiv_koolielu_ee__245734.json;mittekirjak;728;0;1;5;0;0;0;0;6;0
mittekirjak__arhiiv_koolielu_ee__489769.json;mittekirjak;352;1;0;21;0;5;0;0;0;1
mittekirjak__arhiiv_koolielu_ee__489773.json;mittekirjak;550;0;0;4;0;0;0;1;0;1
mittekirjak__arhiiv_koolielu_ee__555727.json;mittekirjak;305;0;0;0;0;7;0;0;0;0
mittekirjak__arhiiv_koolielu_ee__99046.json;mittekirjak;1723;2;2;26;0;2;1;1;0;3
mittekirjak__arhiiv_koolielu_ee__99330.json;mittekirjak;250;1;0;2;0;0;0;0;0;0
mittekirjak__arhiiv_koolielu_ee__99939.json;mittekirjak;246;1;0;1;0;0;1;0;0;0
mittekirjak__asashio_anime_ee__71983.json;mittekirjak;1452;0;0;30;0;2;2;11;0;15
mittekirjak__blog_cfe_ee__310590.json;mittekirjak;790;0;1;11;0;1;1;2;0;0
mittekirjak__blog_maaleht_ee__212517.json;mittekirjak;558;0;0;2;0;0;0;0;0;0
mittekirjak__blog_maaleht_ee__75865.json;mittekirjak;662;0;1;8;0;4;0;0;1;0
mittekirjak__blog_photopoint_ee__83475.json;mittekirjak;453;0;1;11;0;0;0;2;0;6
mittekirjak__blog_soccernet_ee__271009.json;mittekirjak;701;0;3;5;0;2;1;1;0;0
mittekirjak__ehh_ee__618542.json;mittekirjak;1636;3;8;34;0;10;1;4;5;18
mittekirjak__elamugrupp_ee__81381.json;mittekirjak;423;0;1;2;0;0;0;0;0;0
mittekirjak__est_kakonsultatsioonid_ee__26725.json;mittekirjak;217;0;0;1;0;0;0;0;0;1
mittekirjak__foorum_audiclub_ee__448460.json;mittekirjak;173;0;0;7;0;1;0;3;0;0
mittekirjak__forte_delfi_ee__112998.json;mittekirjak;839;2;0;37;0;0;0;6;2;0
mittekirjak__forte_delfi_ee__201325.json;mittekirjak;158;0;1;2;0;0;1;0;0;0
mittekirjak__juura_ee__100106.json;mittekirjak;185;0;3;6;0;9;0;1;1;0
mittekirjak__juura_ee__336894.json;mittekirjak;379;0;0;3;0;1;0;0;0;0
mittekirjak__juura_ee__456231.json;mittekirjak;108;0;0;0;0;8;0;0;0;0
mittekirjak__kaja_ekstreem_ee__559456.json;mittekirjak;211;0;1;6;0;1;0;0;0;0
mittekirjak__kaja_ekstreem_ee__75995.json;mittekirjak;616;3;0;6;0;0;0;0;0;0
mittekirjak__keeletoimetus_ee__6546.json;mittekirjak;1384;0;0;17;1;3;0;2;1;0
mittekirjak__larko_kolhoos_ee__100439.json;mittekirjak;565;0;0;0;0;0;1;0;0;1
mittekirjak__larko_kolhoos_ee__241009.json;mittekirjak;156;1;0;6;0;0;0;0;5;0
mittekirjak__larko_kolhoos_ee__92948.json;mittekirjak;508;0;2;4;0;0;1;0;0;0
mittekirjak__marketingsharks_ee__180582.json;mittekirjak;100;0;0;4;0;0;0;0;0;0
mittekirjak__materialist_netikuller_ee__81948.json;mittekirjak;99;0;0;0;0;0;0;0;0;0
mittekirjak__naistekas_delfi_ee__654271.json;mittekirjak;122;0;0;0;0;0;0;0;0;0
mittekirjak__naistekas_delfi_ee__71918.json;mittekirjak;648;3;0;3;0;4;0;0;0;0
mittekirjak__naistekas_delfi_ee__96829.json;mittekirjak;2038;6;5;64;0;23;0;8;4;6
mittekirjak__nami-nami_ee__100212.json;mittekirjak;588;5;1;18;0;2;0;0;2;0
mittekirjak__nami-nami_ee__351007.json;mittekirjak;1118;5;10;20;0;2;1;1;19;0
mittekirjak__nami-nami_ee__468599.json;mittekirjak;342;2;0;6;0;0;0;0;0;0
mittekirjak__nami-nami_ee__476502.json;mittekirjak;530;4;0;6;1;1;0;0;0;0
mittekirjak__nami-nami_ee__57221.json;mittekirjak;857;8;5;13;0;1;0;2;0;2
mittekirjak__nami-nami_ee__60232.json;mittekirjak;44;0;0;3;0;0;0;0;0;0
mittekirjak__nami-nami_ee__660738.json;mittekirjak;274;3;1;3;0;0;0;0;1;0
mittekirjak__nami-nami_ee__91118.json;mittekirjak;659;6;1;16;0;3;0;0;0;2
mittekirjak__oliver_tele2_ee__396482.json;mittekirjak;339;0;1;9;0;2;0;2;0;0
mittekirjak__para_forum_co_ee__216425.json;mittekirjak;50;0;0;0;0;0;0;0;0;0
mittekirjak__pesa_ingliabi_ee__100026.json;mittekirjak;446;1;6;4;0;8;0;0;3;1
mittekirjak__pesa_ingliabi_ee__122851.json;mittekirjak;1535;0;1;17;2;27;0;0;0;2
mittekirjak__pesa_ingliabi_ee__128192.json;mittekirjak;1214;0;12;2;0;0;0;0;0;4
mittekirjak__pesa_ingliabi_ee__129286.json;mittekirjak;934;24;2;41;0;26;0;4;2;7
mittekirjak__pesa_ingliabi_ee__83101.json;mittekirjak;944;0;3;10;1;10;0;2;2;0
mittekirjak__rahvahaal_delfi_ee__100006.json;mittekirjak;738;1;2;20;0;17;0;3;1;4
mittekirjak__rahvahaal_delfi_ee__254738.json;mittekirjak;387;0;1;0;0;1;0;0;0;0
mittekirjak__rahvahaal_delfi_ee__391827.json;mittekirjak;33;0;0;1;0;3;0;0;2;0
mittekirjak__rahvahaal_delfi_ee__499557.json;mittekirjak;1170;0;5;8;0;6;3;0;1;1
mittekirjak__uudised_err_ee__100333.json;mittekirjak;59;0;0;4;0;2;0;0;1;0
mittekirjak__uudised_err_ee__245935.json;mittekirjak;49;0;0;0;0;0;0;0;0;1
mittekirjak__videvik_forum_co_ee__309894.json;mittekirjak;4855;0;22;47;0;8;0;11;2;0
mittekirjak__vikerraadio_err_ee__113273.json;mittekirjak;1155;2;5;14;0;16;0;0;4;7
mittekirjak__vikerraadio_err_ee__85409.json;mittekirjak;463;0;3;6;1;1;0;0;0;0
mittekirjak__vikerraadio_err_ee__94613.json;mittekirjak;679;2;0;10;0;7;1;0;1;1
mittekirjak__www_360_ee__455808.json;mittekirjak;24;0;1;0;0;0;0;0;0;0
mittekirjak__www_adaur_ee__100778.json;mittekirjak;1007;0;0;1;0;0;1;0;0;2
mittekirjak__www_adaur_ee__662668.json;mittekirjak;292;0;0;0;0;1;0;0;0;0
mittekirjak__www_convivo_ee__9850.json;mittekirjak;156;2;0;4;0;0;0;0;0;0
mittekirjak__www_ekspress_ee__123101.json;mittekirjak;785;1;3;6;0;1;0;0;0;0
mittekirjak__www_fyysika_ee__510407.json;mittekirjak;857;1;2;18;0;0;0;1;0;0
mittekirjak__www_geopeitus_ee__311297.json;mittekirjak;6393;26;27;198;1;27;3;21;9;27
mittekirjak__www_geopeitus_ee__558696.json;mittekirjak;6404;26;30;208;3;34;3;35;8;33
mittekirjak__www_geopeitus_ee__564301.json;mittekirjak;1846;9;8;53;3;4;1;6;0;14
mittekirjak__www_geopeitus_ee__60802.json;mittekirjak;2327;7;9;67;0;2;1;13;0;16
mittekirjak__www_geopeitus_ee__613679.json;mittekirjak;7238;35;25;256;5;23;5;26;17;26
mittekirjak__www_hambaarst_ee__101025.json;mittekirjak;807;0;10;8;1;0;2;1;3;0
mittekirjak__www_hambaarst_ee__350368.json;mittekirjak;148;0;0;3;0;0;0;0;0;0
mittekirjak__www_ilm_err_ee__195124.json;mittekirjak;265;0;1;6;1;0;0;0;0;0
mittekirjak__www_innovationfestival_ee__100225.json;mittekirjak;318;1;4;3;0;0;0;0;0;0
mittekirjak__www_innovationfestival_ee__562139.json;mittekirjak;178;1;1;0;0;0;0;0;0;0
mittekirjak__www_innovationfestival_ee__87263.json;mittekirjak;104;0;1;2;0;0;0;1;1;1
mittekirjak__www_kickbike_ee__24571.json;mittekirjak;329;0;4;1;0;0;0;0;0;0
mittekirjak__www_kliinik_ee__74478.json;mittekirjak;109;0;0;0;0;0;0;0;1;0
mittekirjak__www_kliinik_ee__77780.json;mittekirjak;296;0;1;1;1;0;0;0;1;0
mittekirjak__www_kuidas_ee__311435.json;mittekirjak;494;0;0;5;0;0;0;0;0;5
mittekirjak__www_laanemaa_ee__74758.json;mittekirjak;259;3;0;0;0;0;1;0;0;0
mittekirjak__www_lapsemure_ee__100495.json;mittekirjak;867;3;17;48;1;7;1;3;17;9
mittekirjak__www_lapsemure_ee__147783.json;mittekirjak;41;0;0;0;0;0;0;0;0;0
mittekirjak__www_lapsemure_ee__682031.json;mittekirjak;86;0;1;0;0;0;0;0;0;0
mittekirjak__www_lemmik_ee__100307.json;mittekirjak;550;2;5;10;0;2;0;0;9;1
mittekirjak__www_lemmik_ee__100692.json;mittekirjak;207;0;7;3;0;5;0;0;1;1
mittekirjak__www_lemmik_ee__466572.json;mittekirjak;52;0;0;0;0;0;1;0;0;0
mittekirjak__www_minut_ee__113384.json;mittekirjak;814;0;11;12;0;0;0;2;9;0
mittekirjak__www_minut_ee__353779.json;mittekirjak;852;1;1;12;0;2;0;1;1;2
mittekirjak__www_okia_ee__269976.json;mittekirjak;743;1;1;12;0;0;0;1;0;4
mittekirjak__www_poogen_ee__115833.json;mittekirjak;1039;0;0;57;0;0;0;32;12;0
mittekirjak__www_poogen_ee__493222.json;mittekirjak;78;0;4;2;0;0;0;0;0;0
mittekirjak__www_poogen_ee__500071.json;mittekirjak;208;0;9;1;0;0;0;0;0;0
mittekirjak__www_poogen_ee__680369.json;mittekirjak;58;0;0;0;0;0;0;0;3;0
mittekirjak__www_sevenline_ee__647764.json;mittekirjak;209;0;0;22;0;0;0;5;1;0
mittekirjak__www_vabalog_ee__428898.json;mittekirjak;423;0;0;2;0;0;0;0;0;2
mittekirjak__www_vorumaateataja_ee__97741.json;mittekirjak;258;0;2;3;0;0;0;0;2;0
mittekirjak__ylle_mrt_ee__100575.json;mittekirjak;821;0;1;28;0;0;0;1;0;1
